상품링크,모델명,원본 상품명,크롤링된 상품명,최저가,배송비,배송비포함가,배송비정보,쇼핑몰,크롤링시간,개당_수량,맛,상품구성,수량,용량
https://search.shopping.naver.com/catalog/35366201623,CGN01053,"LactoBif 100 프로바이오틱, 1,000억CFU, 베지 캡슐 30정",캘리포니아골드뉴트리션 LactoBif 프로바이오틱스 1000억 CFU 30캡슐,243900,0,243900,"배송비
무료",렛캔,2025-09-03 16:35:47,,,6개,,
https://search.shopping.naver.com/catalog/51929514291,CGN01032,CGN 콜라겐업 히알루론산 비타민C 파우더 무향 464g,캘리포니아골드뉴트리션 콜라겐업 206g 1개,22000,0,22000,"배송비
무료",비타케어365,2025-09-03 16:36:06,,,,1개,206g
https://search.shopping.naver.com/catalog/51929514291,CGN01032,CGN 콜라겐업 히알루론산 비타민C 파우더 무향 464g,캘리포니아골드뉴트리션 콜라겐업 206g 2개,36330,0,36330,"배송비
무료",옥션,2025-09-03 16:36:08,,,,2개,206g
https://search.shopping.naver.com/catalog/51929514291,CGN01032,CGN 콜라겐업 히알루론산 비타민C 파우더 무향 464g,캘리포니아골드뉴트리션 콜라겐업 206g 3개,50220,0,50220,"배송비
무료",옥션,2025-09-03 16:36:11,,,,3개,206g
https://search.shopping.naver.com/catalog/51929514291,CGN01032,CGN 콜라겐업 히알루론산 비타민C 파우더 무향 464g,캘리포니아골드뉴트리션 콜라겐업 206g 4개,106990,10000,116990,"배송비
10,000원 포함",쿠팡,2025-09-03 16:36:14,,,,4개,206g
https://search.shopping.naver.com/catalog/51929514291,CGN01032,CGN 콜라겐업 히알루론산 비타민C 파우더 무향 464g,캘리포니아골드뉴트리션 콜라겐 업 464g 1개,35590,0,35590,"배송비
무료",옥션,2025-09-03 16:36:23,,,,1개,464g
https://search.shopping.naver.com/catalog/51929514291,CGN01032,CGN 콜라겐업 히알루론산 비타민C 파우더 무향 464g,캘리포니아골드뉴트리션 콜라겐 업 464g 2개,72990,0,72990,"배송비
무료",옥션,2025-09-03 16:36:26,,,,2개,464g
https://search.shopping.naver.com/catalog/51929514291,CGN01032,CGN 콜라겐업 히알루론산 비타민C 파우더 무향 464g,캘리포니아골드뉴트리션 콜라겐 업 464g 3개,110280,0,110280,"배송비
무료",옥션,2025-09-03 16:36:29,,,,3개,464g
https://search.shopping.naver.com/catalog/51929514291,CGN01032,CGN 콜라겐업 히알루론산 비타민C 파우더 무향 464g,캘리포니아골드뉴트리션 콜라겐 업 464g 4개,141100,0,141100,"배송비
무료",G마켓,2025-09-03 16:36:32,,,,4개,464g
https://search.shopping.naver.com/catalog/51929514291,CGN01032,CGN 콜라겐업 히알루론산 비타민C 파우더 무향 464g,캘리포니아골드뉴트리션 콜라겐 업 464g 6개,239000,0,239000,"배송비
무료",헬스머니,2025-09-03 16:36:35,,,,6개,464g
https://search.shopping.naver.com/catalog/53648562349,CGN00932,"Gold C, USP 등급 비타민C, 1,000mg, 베지 캡슐 240정",캘리포니아골드뉴트리션 골드C 1000mg x 60캡슐 1개,9430,4500,13930,"배송비
4,500원 포함",옥션,2025-09-03 16:36:53,60캡슐,,,1개,
https://search.shopping.naver.com/catalog/53648562349,CGN00932,"Gold C, USP 등급 비타민C, 1,000mg, 베지 캡슐 240정",캘리포니아골드뉴트리션 골드C 1000mg x 60캡슐 2개,15280,4500,19780,"배송비
4,500원 포함",옥션,2025-09-03 16:36:56,60캡슐,,,2개,
https://search.shopping.naver.com/catalog/53648562349,CGN00932,"Gold C, USP 등급 비타민C, 1,000mg, 베지 캡슐 240정",캘리포니아골드뉴트리션 골드C 1000mg x 60캡슐 3개,19740,4500,24240,"배송비
4,500원 포함",옥션,2025-09-03 16:36:59,60캡슐,,,3개,
https://search.shopping.naver.com/catalog/53648562349,CGN00932,"Gold C, USP 등급 비타민C, 1,000mg, 베지 캡슐 240정",캘리포니아골드뉴트리션 골드C 1000mg x 60캡슐 4개,29300,9900,39200,"배송비
9,900원 포함",리플레이스몰,2025-09-03 16:37:02,60캡슐,,,4개,
https://search.shopping.naver.com/catalog/53648562349,CGN00932,"Gold C, USP 등급 비타민C, 1,000mg, 베지 캡슐 240정",캘리포니아골드뉴트리션 골드C 1000mg x 60캡슐 6개,46260,0,46260,"배송비
무료",템플러스,2025-09-03 16:37:05,60캡슐,,,6개,
https://search.shopping.naver.com/catalog/53648562349,CGN00932,"Gold C, USP 등급 비타민C, 1,000mg, 베지 캡슐 240정",캘리포니아골드뉴트리션 골드C 1000mg x 240캡슐 1개,19900,0,19900,"배송비
무료",11번가,2025-09-03 16:37:14,240캡슐,,,1개,
https://search.shopping.naver.com/catalog/53648562349,CGN00932,"Gold C, USP 등급 비타민C, 1,000mg, 베지 캡슐 240정",캘리포니아골드뉴트리션 골드C 1000mg x 240캡슐 2개,36080,0,36080,"배송비
무료",쿠팡,2025-09-03 16:37:16,240캡슐,,,2개,
https://search.shopping.naver.com/catalog/53648562349,CGN00932,"Gold C, USP 등급 비타민C, 1,000mg, 베지 캡슐 240정",캘리포니아골드뉴트리션 골드C 1000mg x 240캡슐 3개,62900,0,62900,"배송비
무료",클라우드:캐빈,2025-09-03 16:37:19,240캡슐,,,3개,
https://search.shopping.naver.com/catalog/51929493004,NOW04753,"2배 강도 밀크 시슬 추출물,  300mg, 베지 캡슐 200정",나우푸드 실리마린 밀크씨슬 추출물 300mg x 100캡슐 1개,17070,0,17070,"배송비
무료",사가람,2025-09-03 16:37:38,100캡슐,,,1개,
https://search.shopping.naver.com/catalog/51929493004,NOW04753,"2배 강도 밀크 시슬 추출물,  300mg, 베지 캡슐 200정",나우푸드 실리마린 밀크씨슬 추출물 300mg x 100캡슐 2개,28250,0,28250,"배송비
무료",옥션,2025-09-03 16:37:41,100캡슐,,,2개,
https://search.shopping.naver.com/catalog/51929493004,NOW04753,"2배 강도 밀크 시슬 추출물,  300mg, 베지 캡슐 200정",나우푸드 실리마린 밀크씨슬 추출물 300mg x 100캡슐 3개,42390,0,42390,"배송비
무료",옥션,2025-09-03 16:37:44,100캡슐,,,3개,
https://search.shopping.naver.com/catalog/51929493004,NOW04753,"2배 강도 밀크 시슬 추출물,  300mg, 베지 캡슐 200정",나우푸드 실리마린 밀크씨슬 추출물 300mg x 100캡슐 4개,73800,0,73800,"배송비
무료",11번가,2025-09-03 16:37:47,100캡슐,,,4개,
https://search.shopping.naver.com/catalog/51929493004,NOW04753,"2배 강도 밀크 시슬 추출물,  300mg, 베지 캡슐 200정",나우푸드 실리마린 밀크씨슬 추출물 300mg x 100캡슐 5개,91100,0,91100,"배송비
무료",11번가,2025-09-03 16:37:49,100캡슐,,,5개,
https://search.shopping.naver.com/catalog/51929493004,NOW04753,"2배 강도 밀크 시슬 추출물,  300mg, 베지 캡슐 200정",나우푸드 실리마린 밀크씨슬 추출물 300mg x 100캡슐 6개,118900,0,118900,"배송비
무료",기니스토어,2025-09-03 16:37:52,100캡슐,,,6개,
https://search.shopping.naver.com/catalog/51929493004,NOW04753,"2배 강도 밀크 시슬 추출물,  300mg, 베지 캡슐 200정",나우푸드 실리마린 밀크씨슬 300mg x 200캡슐 1개,24530,0,24530,"배송비
무료",세이브비타,2025-09-03 16:38:01,200캡슐,,,1개,
https://search.shopping.naver.com/catalog/51929493004,NOW04753,"2배 강도 밀크 시슬 추출물,  300mg, 베지 캡슐 200정",나우푸드 실리마린 밀크씨슬 300mg x 200캡슐 2개,41970,0,41970,"배송비
무료",옥션,2025-09-03 16:38:04,200캡슐,,,2개,
https://search.shopping.naver.com/catalog/51929493004,NOW04753,"2배 강도 밀크 시슬 추출물,  300mg, 베지 캡슐 200정",나우푸드 실리마린 밀크씨슬 300mg x 200캡슐 3개,63550,0,63550,"배송비
무료",옥션,2025-09-03 16:38:07,200캡슐,,,3개,
https://search.shopping.naver.com/catalog/51929493004,NOW04753,"2배 강도 밀크 시슬 추출물,  300mg, 베지 캡슐 200정",나우푸드 실리마린 밀크씨슬 300mg x 200캡슐 4개,99500,9900,109400,"배송비
9,900원 포함",퀵어스몰,2025-09-03 16:38:10,200캡슐,,,4개,
https://search.shopping.naver.com/catalog/51929493004,NOW04753,"2배 강도 밀크 시슬 추출물,  300mg, 베지 캡슐 200정",나우푸드 실리마린 밀크씨슬 300mg x 200캡슐 5개,163900,18900,182800,"배송비
18,900원 포함",헬씨파워,2025-09-03 16:38:13,200캡슐,,,5개,
https://search.shopping.naver.com/catalog/51929493004,NOW04753,"2배 강도 밀크 시슬 추출물,  300mg, 베지 캡슐 200정",나우푸드 실리마린 밀크씨슬 300mg x 200캡슐 6개,146960,0,146960,"배송비
무료",G마켓,2025-09-03 16:38:16,200캡슐,,,6개,
https://search.shopping.naver.com/catalog/35322558619,CGN01065,"비타민D3, 125mcg(5,000IU), 피쉬 젤라틴 소프트젤 90정",캘리포니아골드뉴트리션 비타민D3 5000IU 90캡슐,8000,0,8000,"배송비
무료",비타케어365,2025-09-03 16:38:24,,,1개,,
https://search.shopping.naver.com/catalog/35322558619,CGN01065,"비타민D3, 125mcg(5,000IU), 피쉬 젤라틴 소프트젤 90정",캘리포니아골드뉴트리션 비타민D3 5000IU 90캡슐,15860,4500,20360,"배송비
4,500원 포함",아이허브 공식스토어,2025-09-03 16:38:27,,,2개,,
https://search.shopping.naver.com/catalog/35322558619,CGN01065,"비타민D3, 125mcg(5,000IU), 피쉬 젤라틴 소프트젤 90정",캘리포니아골드뉴트리션 비타민D3 5000IU 90캡슐,21540,4500,26040,"배송비
4,500원 포함",아이허브 공식스토어,2025-09-03 16:38:29,,,3개,,
https://search.shopping.naver.com/catalog/35322558619,CGN01065,"비타민D3, 125mcg(5,000IU), 피쉬 젤라틴 소프트젤 90정",캘리포니아골드뉴트리션 비타민D3 5000IU 90캡슐,28400,9900,38300,"배송비
9,900원 포함",HYSHOP,2025-09-03 16:38:32,,,4개,,
https://search.shopping.naver.com/catalog/35322558619,CGN01065,"비타민D3, 125mcg(5,000IU), 피쉬 젤라틴 소프트젤 90정",캘리포니아골드뉴트리션 비타민D3 5000IU 90캡슐,52650,0,52650,"배송비
무료",11번가,2025-09-03 16:38:35,,,5개,,
https://search.shopping.naver.com/catalog/35322558619,CGN01065,"비타민D3, 125mcg(5,000IU), 피쉬 젤라틴 소프트젤 90정",캘리포니아골드뉴트리션 비타민D3 5000IU 90캡슐,56900,20000,76900,"배송비
20,000원 포함",쿠팡,2025-09-03 16:38:38,,,6개,,
https://search.shopping.naver.com/catalog/53648562365,CGN00931,"Gold C, USP 등급 비타민C, 1,000mg, 베지 캡슐 60정",캘리포니아골드뉴트리션 골드C 1000mg x 60캡슐 1개,9430,4500,13930,"배송비
4,500원 포함",옥션,2025-09-03 16:38:53,60캡슐,,,1개,
https://search.shopping.naver.com/catalog/53648562365,CGN00931,"Gold C, USP 등급 비타민C, 1,000mg, 베지 캡슐 60정",캘리포니아골드뉴트리션 골드C 1000mg x 60캡슐 2개,15280,4500,19780,"배송비
4,500원 포함",옥션,2025-09-03 16:38:56,60캡슐,,,2개,
https://search.shopping.naver.com/catalog/53648562365,CGN00931,"Gold C, USP 등급 비타민C, 1,000mg, 베지 캡슐 60정",캘리포니아골드뉴트리션 골드C 1000mg x 60캡슐 3개,19740,4500,24240,"배송비
4,500원 포함",옥션,2025-09-03 16:38:58,60캡슐,,,3개,
https://search.shopping.naver.com/catalog/53648562365,CGN00931,"Gold C, USP 등급 비타민C, 1,000mg, 베지 캡슐 60정",캘리포니아골드뉴트리션 골드C 1000mg x 60캡슐 4개,29300,9900,39200,"배송비
9,900원 포함",리플레이스몰,2025-09-03 16:39:01,60캡슐,,,4개,
https://search.shopping.naver.com/catalog/53648562365,CGN00931,"Gold C, USP 등급 비타민C, 1,000mg, 베지 캡슐 60정",캘리포니아골드뉴트리션 골드C 1000mg x 60캡슐 6개,46260,0,46260,"배송비
무료",템플러스,2025-09-03 16:39:04,60캡슐,,,6개,
https://search.shopping.naver.com/catalog/53648562365,CGN00931,"Gold C, USP 등급 비타민C, 1,000mg, 베지 캡슐 60정",캘리포니아골드뉴트리션 골드C 1000mg x 240캡슐 1개,19900,0,19900,"배송비
무료",11번가,2025-09-03 16:39:13,240캡슐,,,1개,
https://search.shopping.naver.com/catalog/53648562365,CGN00931,"Gold C, USP 등급 비타민C, 1,000mg, 베지 캡슐 60정",캘리포니아골드뉴트리션 골드C 1000mg x 240캡슐 2개,36080,0,36080,"배송비
무료",쿠팡,2025-09-03 16:39:16,240캡슐,,,2개,
https://search.shopping.naver.com/catalog/53648562365,CGN00931,"Gold C, USP 등급 비타민C, 1,000mg, 베지 캡슐 60정",캘리포니아골드뉴트리션 골드C 1000mg x 240캡슐 3개,62900,0,62900,"배송비
무료",클라우드:캐빈,2025-09-03 16:39:19,240캡슐,,,3개,
https://search.shopping.naver.com/catalog/51929502201,DRB00097,옵티MSM 함유 1500mg 120정 OptiMSM 식이유황,닥터스베스트 MSM 타블렛 1500mg x 120정 1개,9800,0,9800,"배송비
무료",로스스토어,2025-09-03 16:39:35,120정,,,1개,
https://search.shopping.naver.com/catalog/51929502201,DRB00097,옵티MSM 함유 1500mg 120정 OptiMSM 식이유황,닥터스베스트 MSM 타블렛 1500mg x 120정 2개,23520,4500,28020,"배송비
4,500원 포함",아이허브 공식스토어,2025-09-03 16:39:38,120정,,,2개,
https://search.shopping.naver.com/catalog/51929502201,DRB00097,옵티MSM 함유 1500mg 120정 OptiMSM 식이유황,닥터스베스트 MSM 타블렛 1500mg x 120정 3개,28540,0,28540,"배송비
무료",아이허브 공식스토어,2025-09-03 16:39:42,120정,,,3개,
https://search.shopping.naver.com/catalog/51929502201,DRB00097,옵티MSM 함유 1500mg 120정 OptiMSM 식이유황,닥터스베스트 MSM 타블렛 1500mg x 120정 4개,40000,0,40000,"배송비
무료",아이허브 공식스토어,2025-09-03 16:39:45,120정,,,4개,
https://search.shopping.naver.com/catalog/51929502201,DRB00097,옵티MSM 함유 1500mg 120정 OptiMSM 식이유황,닥터스베스트 MSM 타블렛 1500mg x 120정 5개,69990,0,69990,"배송비
무료",11번가,2025-09-03 16:39:47,120정,,,5개,
https://search.shopping.naver.com/catalog/51929502201,DRB00097,옵티MSM 함유 1500mg 120정 OptiMSM 식이유황,닥터스베스트 MSM 타블렛 1500mg x 120정 6개,72140,0,72140,"배송비
무료",옥션,2025-09-03 16:39:50,120정,,,6개,
https://search.shopping.naver.com/catalog/53548645758,DRB00025,"고흡수 마그네슘, 200mg(1정당 100mg), 120정",닥터스베스트 고흡수 마그네슘 100mg x 120정 1개,10100,0,10100,"배송비
무료",로스스토어,2025-09-03 16:40:05,120정,,,1개,
