product_id,product_name,product_url,current_price,original_price,discount_rate,rating,review_count,delivery_badge,is_rocket,crawled_at
88994199813,"나우푸드 엑스트라 스트렝스 피크노제놀 150mg 베지 캡슐, 1개, 60정",https://www.coupang.com/vp/products/7951161084?itemId=21946372640&vendorItemId=88994199813&q=나우푸드&searchId=00ee99373131818&sourceType=search&itemsCount=36&searchRank=522&rank=522,"75,510원","86,800원",13%,5.0,19,무료배송,True,2025-09-03T11:59:04.443854
3086437716,"나우푸드 내추럴 E 리퀴드, 1개, 30ml",https://www.coupang.com/vp/products/29256?itemId=401436&vendorItemId=3086437716&q=나우푸드&searchId=00ee99373131818&sourceType=search&itemsCount=36&searchRank=523&rank=523,"13,050원","15,010원",13%,5.0,65,조건부 무료배송,True,2025-09-03T11:59:04.444124
4557781683,"나우푸드 아세틸 L-카르니틴 퓨어 파우더 비건, 85g, 1개",https://www.coupang.com/vp/products/8289044016?itemId=594871201&vendorItemId=4557781683&q=나우푸드&searchId=00ee99373131818&sourceType=search&itemsCount=36&searchRank=524&rank=524,"21,490원","24,710원",13%,4.5,10,조건부 무료배송,True,2025-09-03T11:59:04.444397
3191886123,"나우푸드 내추럴 E-1000 소프트젤, 50정, 1개",https://www.coupang.com/vp/products/8184444865?itemId=1199531&vendorItemId=3191886123&q=나우푸드&searchId=00ee99373131818&sourceType=search&itemsCount=36&searchRank=525&rank=525,"18,880원","21,710원",13%,4.5,36,조건부 무료배송,True,2025-09-03T11:59:04.444669
3272608755,"나우푸드 퓨어 에센셜 아로마오일 cinnamon cassia 일반오일, 30ml, 1개",https://www.coupang.com/vp/products/5426787081?itemId=70781&vendorItemId=3272608755&q=나우푸드&searchId=00ee99373131818&sourceType=search&itemsCount=36&searchRank=526&rank=526,"9,570원","11,010원",13%,4.5,117,조건부 무료배송,True,2025-09-03T11:59:04.444940
3215008647,"나우푸드 아보카도 오일 퓨어 모이스처라이징, 473ml, 1개",https://www.coupang.com/vp/products/583345?itemId=2055661&vendorItemId=3215008647&q=나우푸드&searchId=00ee99373131818&sourceType=search&itemsCount=36&searchRank=527&rank=527,"19,360원","22,260원",13%,4.5,253,조건부 무료배송,True,2025-09-03T11:59:04.445210
3086435948,"나우푸드 버터버 베지 캡슐 비건, 1개, 60정",https://www.coupang.com/vp/products/29197?itemId=70171&vendorItemId=3086435948&q=나우푸드&searchId=00ee99373131818&sourceType=search&itemsCount=36&searchRank=528&rank=528,"21,930원","28,070원",21%,5.0,63,조건부 무료배송,True,2025-09-03T11:59:04.445482
3086437723,"나우푸드 내추럴 E 리퀴드, 1개, 118ml",https://www.coupang.com/vp/products/8184362745?itemId=70280&vendorItemId=3086437723&q=나우푸드&searchId=00ee99373131818&sourceType=search&itemsCount=36&searchRank=529&rank=529,"25,270원",,,4.5,20,조건부 무료배송,True,2025-09-03T11:59:04.445741
3392993362,"나우푸드 에센셜 아로마오일 베르가못, 1개, 30ml",https://www.coupang.com/vp/products/46844287?itemId=165966897&vendorItemId=3392993362&q=나우푸드&searchId=00ee99373131818&sourceType=search&itemsCount=36&searchRank=530&rank=530,"24,210원","27,830원",13%,4.5,27,조건부 무료배송,True,2025-09-03T11:59:04.446018
3086567878,"나우푸드 자일리톨, 454g, 1개",https://www.coupang.com/vp/products/8168940294?itemId=2079352&vendorItemId=3086567878&q=나우푸드&searchId=00ee99373131818&sourceType=search&itemsCount=36&searchRank=531&rank=531,"12,720원","14,630원",13%,4.5,16,조건부 무료배송,True,2025-09-03T11:59:04.446294
92075676117,"나우푸드 AAKG 2200 아미노 애시드 베지 캡슐, 1개",https://www.coupang.com/vp/products/8373141755?itemId=25071594433&vendorItemId=92075676117&q=나우푸드&searchId=00ee99373131818&sourceType=search&itemsCount=36&searchRank=532&rank=532,"27,690원","31,830원",13%,5.0,1,무료배송,True,2025-09-03T11:59:04.446563
